"","id","sp_ives","sp","lat","long","sex","CS","LogCS","biome","fac","pch","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","Elev","NPP","Humid","Soil_P","Soil_Moist","Cluster"
"56","Sapajus_libidinosus -18.65664968 -48.28687774 M","Sapajus_libidinosus_13","Sapajus_libidinosus",-18.65664968,-48.28687774,"M",10.49100798,2.350443884,"Savanna","SV",25,21.80833435,22.92933273,19.45866585,1543,321,10,85.82582855,814,33,389,47,11.65266705,69.67630768,152.7482147,29.04400063,12.31999969,16.72400093,22.84666634,19.87733269,846,0.630236108,70.3258012,5.077460013,87.27349559,"Thermally Stable & Dry-Seasonal"
"57","Sapajus_libidinosus -19.4232302 -48.30346523 F","Sapajus_libidinosus_14","Sapajus_libidinosus",-19.4232302,-48.30346523,"F",8.901773539,2.186250531,"Savanna","SV",25,21.7626667,23.06000137,19.2373333,1572,284,18,77.84453583,786,57,699,74,12.00666714,68.43745422,166.9176178,29.2840004,11.73999977,17.54400063,23.03000069,19.57733345,759,0.649249992,72,4.953343801,92.6291182,"Warm & Moderately Seasonal"
"58","Sapajus_libidinosus -19.4232302 -48.30346523 M","Sapajus_libidinosus_15","Sapajus_libidinosus",-19.4232302,-48.30346523,"M",9.471166088,2.248252035,"Savanna","SV",25,21.7626667,23.06000137,19.2373333,1572,284,18,77.84453583,786,57,699,74,12.00666714,68.43745422,166.9176178,29.2840004,11.73999977,17.54400063,23.03000069,19.57733345,759,0.649249992,72,4.953343801,92.6291182,"Warm & Moderately Seasonal"
"59","Sapajus_libidinosus -2.477655896 -43.30527208 M","Sapajus_libidinosus_16","Sapajus_libidinosus",-2.477655896,-43.30527208,"M",9.498940547,2.251180271,"Savanna","SV",25,27.3496666,27.97599983,26.91333389,1731,365,6,94.73842621,989,21,68,989,8.987333298,81.88168335,45.75656891,33.12400055,22.14800072,10.97599983,26.91333389,27.94466782,5,0.522000015,77.67348914,5.102875113,69.67433643,"Thermally Stable & Dry-Seasonal"
"60","Sapajus_libidinosus -7.9473 -39.296 F","Sapajus_libidinosus_17","Sapajus_libidinosus",-7.9473,-39.296,"F",8.669986554,2.15986724,"Savanna","SV",19,24.12599945,25.70199966,22.0233326,669,178,2,100.1693115,404,17,185,30,10.72333336,69.86795044,150.2805786,31.76399994,16.41600037,15.34799957,24.79266739,23.73933411,460,0.194820316,61,6.744171709,22.98289849,"Elevated & Thermally Seasonal"
"61","Sapajus_nigritus -19.79820319 -40.68281548 F","Sapajus_nigritus","Sapajus_nigritus",-19.79820319,-40.68281548,"F",9.286139569,2.228376437,"Forest","AF",19,22.25650024,24.62400055,19.71066666,1247,198,42,55.04610825,564,142,373,142,10.50233269,63.06949615,197.2624207,30.1760006,13.52400017,16.65200043,23.7753334,19.71066666,298,0.868359386,79.83611555,5.012797043,77.40373266,"Warm & Moderately Seasonal"
"62","Sapajus_nigritus -19.79820319 -40.68281548 M","Sapajus_nigritus_2","Sapajus_nigritus",-19.79820319,-40.68281548,"M",9.965674339,2.298212187,"Forest","AF",19,22.25650024,24.62400055,19.71066666,1247,198,42,55.04610825,564,142,373,142,10.50233269,63.06949615,197.2624207,30.1760006,13.52400017,16.65200043,23.7753334,19.71066666,298,0.868359386,79.83611555,5.012797043,77.40373266,"Warm & Moderately Seasonal"
"63","Sapajus_nigritus -19.84573935 -40.55203918 F","Sapajus_nigritus_3","Sapajus_nigritus",-19.84573935,-40.55203918,"F",8.789662667,2.173576334,"Forest","AF",19,19.03116608,21.3793335,16.5019989,1346,203,50,49.24126816,579,172,398,172,9.865666389,62.5517807,196.6887665,26.39999962,10.62800026,15.77199936,20.55999947,17.07866669,842,0.856921889,80,4.943401163,76.2193437,"Warm & Moderately Seasonal"
"64","Sapajus_nigritus -19.84573935 -40.55203918 M","Sapajus_nigritus_4","Sapajus_nigritus",-19.84573935,-40.55203918,"M",10.8479329,2.383974545,"Forest","AF",19,19.03116608,21.3793335,16.5019989,1346,203,50,49.24126816,579,172,398,172,9.865666389,62.5517807,196.6887665,26.39999962,10.62800026,15.77199936,20.55999947,17.07866669,842,0.856921889,80,4.943401163,76.2193437,"Warm & Moderately Seasonal"
"65","Sapajus_nigritus -21.82169193 -42.59318525 M","Sapajus_nigritus_5","Sapajus_nigritus",-21.82169193,-42.59318525,"M",8.719921141,2.165610194,"Forest","AF",19,21.90933228,24.78199959,18.79599953,1294,256,18,76.95401001,650,60,536,60,12.13600063,62.08307648,239.009491,31.07600021,11.52799988,19.54800034,24.47200012,18.79599953,257,1.053951823,78.96850051,5.520505195,105.8825507,"Warm & Moderately Seasonal"
"66","Sapajus_nigritus -22.1218764 -48.82363954 M","Sapajus_nigritus_6","Sapajus_nigritus",-22.1218764,-48.82363954,"M",11.58489709,2.449702275,"Forest","AF",19,21.78466606,24.24799919,18.67000008,1160,219,21,69.92007446,578,87,578,108,11.80799961,64.96479034,233.9955292,29.65999985,11.48400021,18.17599869,24.24799919,18.78733444,439,0.812705725,69,5.410505327,101.6532314,"Elevated & Thermally Seasonal"
"67","Sapajus_nigritus -23.97585942 -46.6185314 F","Sapajus_nigritus_7","Sapajus_nigritus",-23.97585942,-46.6185314,"F",9.120020096,2.210472008,"Forest","AF",19,18.19466591,21.25399971,15.16466713,2682,340,111,37.90048599,986,363,986,363,7.779999733,52.35531235,248.0896759,25.14800072,10.28800011,14.86000061,21.25399971,15.16466713,672,1.078264324,81,5.086499929,148.657781,"Elevated & Thermally Seasonal"
"68","Sapajus_nigritus -23.97585942 -46.6185314 M","Sapajus_nigritus_8","Sapajus_nigritus",-23.97585942,-46.6185314,"M",11.86495387,2.473589002,"Forest","AF",19,18.19466591,21.25399971,15.16466713,2682,340,111,37.90048599,986,363,986,363,7.779999733,52.35531235,248.0896759,25.14800072,10.28800011,14.86000061,21.25399971,15.16466713,672,1.078264324,81,5.086499929,148.657781,"Elevated & Thermally Seasonal"
"69","Sapajus_nigritus -24.5105 -47.7003 F","Sapajus_nigritus_9","Sapajus_nigritus",-24.5105,-47.7003,"F",9.64911246,2.266865938,"Forest","AF",19,22.31116676,25.81733322,18.75266647,1657,246,69,44.45455933,677,223,677,223,8.379666328,50.74894714,291.3086853,30.07600021,13.56400013,16.51200104,25.81733322,18.75266647,8,1.159539088,76.62650602,5.303677169,136.5789928,"Thermally Stable & Dry-Seasonal"
"70","Sapajus_nigritus -26.16795849 -48.66507271 F","Sapajus_nigritus_10","Sapajus_nigritus",-26.16795849,-48.66507271,"F",8.302357347,2.116539492,"Forest","AF",19,20.72745132,24.47352982,17.33823395,1823,269,82,39.61027145,730,266,730,266,7.514705658,47.63236618,291.6759033,28.51764679,12.74117661,15.77647018,24.47352982,17.33823395,32,1.089976603,80,5.003390774,NA,"Elevated & Thermally Seasonal"
"71","Sapajus_nigritus -26.16795849 -48.66507271 M","Sapajus_nigritus_11","Sapajus_nigritus",-26.16795849,-48.66507271,"M",10.09219804,2.311762654,"Forest","AF",19,20.72745132,24.47352982,17.33823395,1823,269,82,39.61027145,730,266,730,266,7.514705658,47.63236618,291.6759033,28.51764679,12.74117661,15.77647018,24.47352982,17.33823395,32,1.089976603,80,5.003390774,NA,"Elevated & Thermally Seasonal"
"72","Sapajus_robustus -17.50178139 -39.33456198 F","Sapajus_robustus","Sapajus_robustus",-17.50178139,-39.33456198,"F",8.429494703,2.130603511,"Forest","AF",18,24.48583412,26.41600037,22.41799927,1358,162,73,22.57325935,429,263,333,263,8.413000107,64.91512299,162.085144,30.88800049,17.9279995,12.96000099,24.92666626,22.41799927,21,1.087000012,81,4.991086897,67.04176128,"Elevated & Thermally Seasonal"
"73","Sapajus_robustus -17.50178139 -39.33456198 M","Sapajus_robustus_2","Sapajus_robustus",-17.50178139,-39.33456198,"M",8.517065592,2.142071867,"Forest","AF",18,24.48583412,26.41600037,22.41799927,1358,162,73,22.57325935,429,263,333,263,8.413000107,64.91512299,162.085144,30.88800049,17.9279995,12.96000099,24.92666626,22.41799927,21,1.087000012,81,4.991086897,67.04176128,"Elevated & Thermally Seasonal"
"74","Sapajus_robustus -17.97675 -39.9635547 F","Sapajus_robustus_3","Sapajus_robustus",-17.97675,-39.9635547,"F",8.550178489,2.145952159,"Forest","AF",18,24.01099968,26.06399918,21.69933319,1237,162,55,37.95938873,465,183,357,183,9.584667206,64.95436859,175.0557098,31.13599968,16.37999916,14.75600052,25.29199982,21.69933319,106,0.94801174,80,4.701845439,60.5636321,"Elevated & Thermally Seasonal"
"75","Sapajus_robustus -17.97675 -39.9635547 M","Sapajus_robustus_4","Sapajus_robustus",-17.97675,-39.9635547,"M",10.69705589,2.369968553,"Forest","AF",18,24.01099968,26.06399918,21.69933319,1237,162,55,37.95938873,465,183,357,183,9.584667206,64.95436859,175.0557098,31.13599968,16.37999916,14.75600052,25.29199982,21.69933319,106,0.94801174,80,4.701845439,60.5636321,"Elevated & Thermally Seasonal"
"76","Sapajus_robustus -18.57940006 -40.078222 M","Sapajus_robustus_5","Sapajus_robustus",-18.57940006,-40.078222,"M",10.23911763,2.326215447,"Forest","AF",18,23.74799919,25.90866661,21.39800072,1216,170,43,45.83909988,496,156,362,156,9.825332642,63.70158386,181.5335236,31.20000076,15.77600002,15.42400074,25.06466675,21.39800072,92,0.970375031,81,4.723156124,60.38157648,"Elevated & Thermally Seasonal"
"77","Sapajus_robustus -18.91351598 -42.0949177 F","Sapajus_robustus_6","Sapajus_robustus",-18.91351598,-42.0949177,"F",9.599294094,2.261647542,"Forest","AF",18,23.86283302,26.02733421,21.26133347,1179,221,16,77.32046509,622,55,442,55,11.76699924,66.64589691,189.8574677,31.92399979,14.26799965,17.65600014,25.28800011,21.26133347,258,0.941983919,76,5.212453028,70.43951178,"Elevated & Thermally Seasonal"
"78","Sapajus_robustus -18.91351598 -42.0949177 M","Sapajus_robustus_7","Sapajus_robustus",-18.91351598,-42.0949177,"M",10.04861682,2.307430236,"Forest","AF",18,23.86283302,26.02733421,21.26133347,1179,221,16,77.32046509,622,55,442,55,11.76699924,66.64589691,189.8574677,31.92399979,14.26799965,17.65600014,25.28800011,21.26133347,258,0.941983919,76,5.212453028,70.43951178,"Elevated & Thermally Seasonal"
"79","Sapajus_robustus -19.58829448 -40.54194181 M","Sapajus_robustus_8","Sapajus_robustus",-19.58829448,-40.54194181,"M",10.55825472,2.356907992,"Forest","AF",18,22.71649933,25.0593338,20.20266724,1227,194,40,55.31479645,555,139,372,139,10.36633301,63.14774323,195.3465424,30.55599976,14.14000034,16.41600037,24.21199989,20.68199921,239,0.854859386,80,4.8523386,68.63501497,"Elevated & Thermally Seasonal"
"80","Sapajus_xanthosternos -10.47489842 -40.13617757 F","Sapajus_xanthosternos","Sapajus_xanthosternos",-10.47489842,-40.13617757,"F",8.957553557,2.192497149,"Forest","AF",8,23.59233284,25.10599899,21.26733398,789,107,23,40.83911896,282,86,260,149,10.80133343,71.2677002,162.8195648,31.23600006,16.07999992,15.15600014,24.69933319,22.82600021,480,0.260511708,66,6.544755263,23.9188797,"Warm & Moderately Seasonal"
"81","Sapajus_xanthosternos -10.47489842 -40.13617757 M","Sapajus_xanthosternos_2","Sapajus_xanthosternos",-10.47489842,-40.13617757,"M",9.936131102,2.293055916,"Forest","AF",8,23.59233284,25.10599899,21.26733398,789,107,23,40.83911896,282,86,260,149,10.80133343,71.2677002,162.8195648,31.23600006,16.07999992,15.15600014,24.69933319,22.82600021,480,0.260511708,66,6.544755263,23.9188797,"Warm & Moderately Seasonal"
"82","Sapajus_xanthosternos -15.82023157 -39.09758308 F","Sapajus_xanthosternos_3","Sapajus_xanthosternos",-15.82023157,-39.09758308,"F",9.357351519,2.236162293,"Forest","AF",8,24.11133385,25.8920002,22.12999916,1518,152,101,12.67980003,408,328,361,373,7.484666824,63.19374084,158.5652313,29.77199936,17.9279995,11.84399986,24.53666687,23.08799934,25,0.930457005,81.35239754,4.913515635,68.68441665,"Thermally Stable & Dry-Seasonal"
"83","Sapajus_xanthosternos -19.84927976 -43.90362749 M","Sapajus_xanthosternos_4","Sapajus_xanthosternos",-19.84927976,-43.90362749,"M",8.47529797,2.137155811,"Forest","AF",8,21.3496666,23.28666687,18.7733326,1476,312,12,87.22769165,821,43,625,43,12.32933331,68.43546295,188.2697296,29.41200066,11.39599991,18.01600075,22.80200005,18.7733326,779,0.925725265,74,5.552920063,83.77055813,"Warm & Moderately Seasonal"
