"","id","sp_ives","sp","lat","long","sex","CS","LogCS","biome","fac","pch","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","Elev","NPP","Humid","Soil_P","Soil_Moist","Cluster"
"15","Sapajus_apella -3.801150157 -52.53308377 M","Sapajus_apella_15","Sapajus_apella",-3.801150157,-52.53308377,"M",9.907727945,2.293315053,"Forest","AM",15,25.17499924,25.89266777,24.69199944,1944,360,31,71.6677475,942,125,162,900,9.733333588,79.75526428,48.81466675,31.51600075,19.31200027,12.20400047,24.75200081,25.76600075,179,0.832175767,85,5.133979137,93.59587538,"Thermally Stable & Dry-Seasonal"
"16","Sapajus_apella -3.828342478 -55.49386438 F","Sapajus_apella_16","Sapajus_apella",-3.828342478,-55.49386438,"F",8.133908236,2.096041526,"Forest","AM",15,26.47316742,27.30200005,25.91133308,1943,306,50,55.88004684,833,192,244,797,9.031666756,77.4585495,59.23439407,32.5359993,20.87599945,11.65999985,25.93533325,26.70999908,53,0.821177072,86,4.917947849,89.67975585,"Thermally Stable & Dry-Seasonal"
"17","Sapajus_apella -3.828342478 -55.49386438 M","Sapajus_apella_17","Sapajus_apella",-3.828342478,-55.49386438,"M",10.17912756,2.320339306,"Forest","AM",15,26.47316742,27.30200005,25.91133308,1943,306,50,55.88004684,833,192,244,797,9.031666756,77.4585495,59.23439407,32.5359993,20.87599945,11.65999985,25.93533325,26.70999908,53,0.821177072,86,4.917947849,89.67975585,"Thermally Stable & Dry-Seasonal"
"18","Sapajus_apella -6.6611 -69.8671 F","Sapajus_apella_18","Sapajus_apella",-6.6611,-69.8671,"F",9.262313848,2.225953893,"Forest","AM",15,25.92466736,26.38599968,25.35733414,2499,338,64,47.44225693,983,238,608,238,10.66800022,82.54410553,43.09645462,31.97599983,19.05200005,12.92399979,25.89733315,25.35733414,120,0.946682278,87,4.930583497,132.8466298,"Warm & Moderately Seasonal"
"19","Sapajus_apella -7.276164354 -70.3003981 F","Sapajus_apella_19","Sapajus_apella",-7.276164354,-70.3003981,"F",10.37564765,2.339461489,"Forest","AM",15,25.22550011,25.6886673,24.50666809,2354,303,58,45.73307419,866,226,720,226,10.41566658,81.49973297,48.75735474,31.09600067,18.31599998,12.78000069,25.3433342,24.50666809,183,0.976786462,87,4.879000187,127.3724873,"Warm & Moderately Seasonal"
"20","Sapajus_apella -7.276164354 -70.3003981 M","Sapajus_apella_20","Sapajus_apella",-7.276164354,-70.3003981,"M",11.63283073,2.453831336,"Forest","AM",15,25.22550011,25.6886673,24.50666809,2354,303,58,45.73307419,866,226,720,226,10.41566658,81.49973297,48.75735474,31.09600067,18.31599998,12.78000069,25.3433342,24.50666809,183,0.976786462,87,4.879000187,127.3724873,"Warm & Moderately Seasonal"
"21","Sapajus_apella -8.7525 -63.4557 F","Sapajus_apella_21","Sapajus_apella",-8.7525,-63.4557,"F",10.06173729,2.308103889,"Forest","AM",15,25.53566742,26.00733376,24.95800018,2239,352,17,67.3259201,1015,88,488,177,10.70600033,72.79032135,42.88504028,32.63199997,17.92399979,14.70800018,25.54933357,25.02666664,94,0.844863277,83.16465863,4.907750045,96.16950444,"Elevated & Thermally Seasonal"
"22","Sapajus_apella -8.7525 -63.4557 M","Sapajus_apella_22","Sapajus_apella",-8.7525,-63.4557,"M",10.67960727,2.36833606,"Forest","AM",17,25.53566742,26.00733376,24.95800018,2239,352,17,67.3259201,1015,88,488,177,10.70600033,72.79032135,42.88504028,32.63199997,17.92399979,14.70800018,25.54933357,25.02666664,94,0.844863277,83.16465863,4.907750045,96.16950444,"Elevated & Thermally Seasonal"
"23","Sapajus_cay -12.00372893 -54.45375719 M","Sapajus_cay","Sapajus_cay",-12.00372893,-54.45375719,"M",10.00357532,2.302942561,"Savanna","SV",17,24.86566734,25.42533302,23.76000023,1788,318,1,85.27033997,911,13,699,39,13.63733387,70.31003571,77.82092285,33.85599899,14.46000004,19.39599991,25.13266563,23.77799988,317,0.791454414,79,5.05181247,93.90458735,"Warm & Moderately Seasonal"
"24","Sapajus_cay -12.141167 -53.43570795 M","Sapajus_cay_2","Sapajus_cay",-12.141167,-53.43570795,"M",8.547381404,2.145624967,"Savanna","SV",17,24.95050049,25.61600113,23.62000084,1757,305,1,82.8169632,888,16,682,42,14.38099957,68.23400879,91.06442261,34.86000061,13.7840004,21.07600021,25.27000046,23.71133423,291,0.730958331,77,5.070265559,90.91186647,"Warm & Moderately Seasonal"
"25","Sapajus_cay -12.28896786 -51.85754375 M","Sapajus_cay_3","Sapajus_cay",-12.28896786,-51.85754375,"M",9.161152899,2.214972033,"Savanna","SV",17,25.7191658,26.5126667,24.43400002,1687,312,2,79.01154327,823,20,425,51,13.26099968,72.19621277,88.01745605,34.12799835,15.76000023,18.36799812,26.10200119,24.50333405,338,0.658875867,76,5.091550395,81.96387157,"Hot & Thermally Aseasonal"
"26","Sapajus_cay -13.51650258 -53.09732769 M","Sapajus_cay_4","Sapajus_cay",-13.51650258,-53.09732769,"M",10.55340558,2.356448612,"Savanna","SV",17,24.63816643,25.58533287,22.85266685,1604,272,2,81.88564301,804,22,400,41,14.5943327,70.16506195,122.2457352,33.77199936,12.97200012,20.79999924,25.25933266,22.88933372,331,0.752845486,74,5.083364458,84.43600945,"Hot & Thermally Aseasonal"
"27","Sapajus_cay -13.54848064 -51.41271861 F","Sapajus_cay_5","Sapajus_cay",-13.54848064,-51.41271861,"F",7.821693616,2.056899276,"Savanna","SV",17,25.82299995,26.8706665,24.12999916,1541,286,2,84.49493408,785,15,400,31,12.83333397,68.86312866,116.7054977,34.15200043,15.51599979,18.63600159,26.34133339,24.18799973,246,0.7032513,73,5.102567668,79.24302832,"Hot & Thermally Aseasonal"
"28","Sapajus_cay -13.54848064 -51.41271861 M","Sapajus_cay_6","Sapajus_cay",-13.54848064,-51.41271861,"M",9.534436066,2.254848115,"Savanna","SV",17,25.82299995,26.8706665,24.12999916,1541,286,2,84.49493408,785,15,400,31,12.83333397,68.86312866,116.7054977,34.15200043,15.51599979,18.63600159,26.34133339,24.18799973,246,0.7032513,73,5.102567668,79.24302832,"Hot & Thermally Aseasonal"
"29","Sapajus_cay -13.5790702 -52.42609579 M","Sapajus_cay_7","Sapajus_cay",-13.5790702,-52.42609579,"M",8.596070528,2.151305183,"Savanna","SV",17,24.69083405,25.70266724,22.97800064,1531,275,1,85.20724487,790,13,362,33,14.10633373,69.62651825,117.14785,33.72000122,13.46000004,20.26000214,25.18400002,23.05200005,381,0.697769535,74.17244883,5.079890653,83.46387005,"Hot & Thermally Aseasonal"
"30","Sapajus_cay -14.184 -56.6203 M","Sapajus_cay_8","Sapajus_cay",-14.184,-56.6203,"M",8.993975817,2.196381727,"Savanna","SV",17,23.9489994,24.86066628,23.24866676,1817,295,7,74.00042725,849,46,684,75,13.6206665,76.52059937,77.31279755,32.09199905,14.29199982,17.79999924,24.38999939,23.30866623,481,0.779462248,74.98103256,5.346005224,96.80027807,"Hot & Thermally Aseasonal"
"31","Sapajus_cay -15.30560445 -57.54874872 F","Sapajus_cay_9","Sapajus_cay",-15.30560445,-57.54874872,"F",7.942930777,2.072282323,"Savanna","SV",17,24.95066643,26.23133278,22.67266655,1453,244,17,69.83621979,671,71,671,71,12.8113327,70.73395538,155.7677307,32.20399857,14.09200001,18.11199951,26.23133278,22.67266655,196,0.742675784,77,6.06085933,77.05739486,"Elevated & Thermally Seasonal"
"32","Sapajus_cay -15.68364971 -56.06516544 F","Sapajus_cay_10","Sapajus_cay",-15.68364971,-56.06516544,"F",8.33685194,2.11965416,"Savanna","SV",17,25.26883316,26.47000122,23.12000084,1417,215,16,67.38227844,626,55,594,55,12.07766628,66.25888062,150.8483582,33.29599762,15.06799984,18.22799683,26.45933342,23.12000084,171,0.716296869,73,5.382765606,71.39504552,"Elevated & Thermally Seasonal"
"33","Sapajus_cay -16.29101969 -57.97779757 F","Sapajus_cay_11","Sapajus_cay",-16.29101969,-57.97779757,"F",8.879804109,2.183779497,"Savanna","SV",17,26.13566589,27.84399986,23.43400002,1363,241,22,70.78385925,657,75,468,75,12.58466625,66.44490814,187.6862183,34.12400055,15.18400002,18.94000053,27.40533257,23.43400002,124,0.745497388,76.9272915,6.194041642,64.67700166,"Thermally Stable & Dry-Seasonal"
"34","Sapajus_cay -17.23322493 -56.01116673 F","Sapajus_cay_12","Sapajus_cay",-17.23322493,-56.01116673,"F",8.225270874,2.107211229,"Savanna","SV",17,25.36849976,27.07733345,22.4980011,1355,229,21,67.73196411,632,69,477,69,11.71766663,63.09317398,200.1418152,33.40400314,14.83199978,18.57200241,26.87466621,22.4980011,124,0.677492625,74,6.181192727,63.5087507,"Thermally Stable & Dry-Seasonal"
"35","Sapajus_cay -18.31716203 -54.74316009 F","Sapajus_cay_13","Sapajus_cay",-18.31716203,-54.74316009,"F",7.89852449,2.066675969,"Savanna","SV",17,24.1621666,25.92866707,21.32600021,1503,255,24,65.81768036,707,92,537,127,12.32766724,64.17985535,199.5449066,32.23600006,13.02799988,19.20800018,25.60133362,21.35533333,347,0.792151054,72,5.275072835,86.0631967,"Thermally Stable & Dry-Seasonal"
"36","Sapajus_cay -19.03164905 -57.63112629 F","Sapajus_cay_14","Sapajus_cay",-19.03164905,-57.63112629,"F",8.488898806,2.138757052,"Savanna","SV",17,25.88583374,28.02666664,22.71333313,1045,181,21,62.0209198,468,74,455,105,10.31700039,63.03152847,229.9044189,33.24399948,16.87599945,16.36800003,27.93066788,22.79000092,187,0.510313383,73,6.186815893,21.05984642,"Thermally Stable & Dry-Seasonal"
"37","Sapajus_cay -19.03164905 -57.63112629 M","Sapajus_cay_15","Sapajus_cay",-19.03164905,-57.63112629,"M",8.538800352,2.141179581,"Savanna","SV",17,25.88583374,28.02666664,22.71333313,1045,181,21,62.0209198,468,74,455,105,10.31700039,63.03152847,229.9044189,33.24399948,16.87599945,16.36800003,27.93066788,22.79000092,187,0.510313383,73,6.186815893,21.05984642,"Thermally Stable & Dry-Seasonal"
"38","Sapajus_cay -20.2019463 -56.54840165 M","Sapajus_cay_16","Sapajus_cay",-20.2019463,-56.54840165,"M",8.398705704,2.126407757,"Savanna","SV",17,24.8125,27.30400085,21.32466698,1291,204,33,52.4221611,547,121,547,121,11.73433399,62.5764389,257.9099731,33,14.24800014,18.7519989,27.30400085,21.32466698,124,0.654324192,71,6.31018763,67.90634945,"Elevated & Thermally Seasonal"
"39","Sapajus_cay -20.2481071 -56.39949425 M","Sapajus_cay_17","Sapajus_cay",-20.2481071,-56.39949425,"M",9.030732086,2.200633437,"Savanna","SV",17,24.7215004,27.17733383,21.26000023,1318,207,32,52.26408005,558,122,558,122,11.6716671,62.76438904,255.4868164,32.86400223,14.26799965,18.59600258,27.17733383,21.26000023,118,0.64324086,71,6.314951484,76.21403669,"Hot & Thermally Aseasonal"
"40","Sapajus_cay -21.25853281 -51.91102927 F","Sapajus_cay_18","Sapajus_cay",-21.25853281,-51.91102927,"F",7.833433152,2.058400875,"Savanna","SV",17,23.24550056,25.77200127,19.82933426,1094,177,23,57.28885651,486,90,486,131,10.81099987,61.49601746,252.716507,30.65200043,13.0720005,17.57999992,25.77200127,19.9173336,265,0.730080736,69.03340269,5.185982649,87.23669288,"Warm & Moderately Seasonal"
"41","Sapajus_cay -21.4349177 -55.65515673 F","Sapajus_cay_19","Sapajus_cay",-21.4349177,-55.65515673,"F",8.28974303,2.115018971,"Savanna","SV",17,22.65049934,25.14999962,19.42000008,1424,190,41,40.98710632,519,154,515,226,11.48700047,62.40221786,244.7049103,30.68799973,12.27999973,18.40800095,25.02400017,19.46666718,451,0.494398425,73,5.295427119,122.3958449,"Warm & Moderately Seasonal"
"42","Sapajus_cay -21.4349177 -55.65515673 M","Sapajus_cay_20","Sapajus_cay",-21.4349177,-55.65515673,"M",8.148193785,2.097796281,"Savanna","SV",17,22.65049934,25.14999962,19.42000008,1424,190,41,40.98710632,519,154,515,226,11.48700047,62.40221786,244.7049103,30.68799973,12.27999973,18.40800095,25.02400017,19.46666718,451,0.494398425,73,5.295427119,122.3958449,"Warm & Moderately Seasonal"
"43","Sapajus_cay -21.72539022 -52.25076149 F","Sapajus_cay_21","Sapajus_cay",-21.72539022,-52.25076149,"F",8.443159102,2.13335654,"Savanna","SV",17,23.2998333,25.86533356,19.88733292,1173,167,33,48.01736832,487,128,487,161,11.29699993,62.78902054,250.9065399,31.03199959,13.03999996,17.99200058,25.86533356,20.04066658,272,0.638154954,70,5.08360222,101.1447253,"Warm & Moderately Seasonal"
"44","Sapajus_libidinosus -14.29499253 -50.96342133 F","Sapajus_libidinosus","Sapajus_libidinosus",-14.29499253,-50.96342133,"F",7.359081514,1.995935131,"Savanna","SV",25,25.60750008,26.69466591,23.85466766,1542,281,4,84.74241638,764,16,424,36,12.20166683,67.56182861,121.2664032,33.5,15.43999958,18.06000137,26.11266708,23.91266632,243,0.664834616,71.01277399,5.127463534,78.1987319,"Thermally Stable & Dry-Seasonal"
"45","Sapajus_libidinosus -14.29499253 -50.96342133 M","Sapajus_libidinosus_2","Sapajus_libidinosus",-14.29499253,-50.96342133,"M",8.033746275,2.083650954,"Savanna","SV",25,25.60750008,26.69466591,23.85466766,1542,281,4,84.74241638,764,16,424,36,12.20166683,67.56182861,121.2664032,33.5,15.43999958,18.06000137,26.11266708,23.91266632,243,0.664834616,71.01277399,5.127463534,78.1987319,"Thermally Stable & Dry-Seasonal"
