Id	biome	traj1	traj2	sp_ives	sp	local_orgmenos1	long	lat	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	AET	NPP	CHMmais2	Centroid Size	Log Centroid Size	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42	ProcCoord43	ProcCoord44	ProcCoord45	ProcCoord46
29	SV	cladetwo	1	Sapajus_cay_6	Sapajus_cay	28	-56.5	-20.183	1.397940009	2.064457989	1.806179974	3.370698093	2.519827994	2.178976947	2.255272505	2.436162647	2.334453751	2.436162647	2.334453751	3.121887985	2.342422681	1.431363764	1.73239376	2.758911892	2.056904851	2.758911892	2.23299611	2.022250153	-0.183758719	1.176091259	10.40484105	2.342060606	-0.363781338	-0.086805566	-0.175384905	0.154211936	0.023646605	0.084978232	-0.056003213	-0.105297079	-0.065333631	-0.013137277	0.054717157	-0.005314696	0.168748866	-0.020761973	0.227600532	-0.037039256	0.239843874	-0.046748645	0.264765215	-0.128160792	0.180481899	0.019079611	0.143487933	0.023604826	0.102461438	0.031801497	0.063043088	0.034663052	0.009969387	0.031858233	-0.036936324	0.021436972	-0.039163868	-0.011121555	0.005374789	-0.001924319	0.092561692	-0.007428399	0.125069399	-0.017926114	-0.057272161	0.173318344	-0.473623948	-0.079934508	-0.434272488	-0.013352523
30	SV	cladetwo	1	Sapajus_cay_7	Sapajus_cay	29	-57.65	-19	1.401400541	2.029383778	1.819543936	3.331427297	2.51851394	2.225309282	2.209515015	2.434568904	2.352182518	2.434568904	2.344392274	3.032618761	2.255272505	1.414973348	1.755874856	2.669316881	1.939519253	2.658964843	2.06069784	1.924612629	-0.289882626	0.301029996	10.90815771	2.389187711	-0.373665428	-0.085506298	-0.198163633	0.152436501	0.025281275	0.077619422	-0.058543886	-0.101238024	-0.048881644	-0.011524474	0.062448692	-0.005594023	0.166265424	-0.021508228	0.204212254	-0.032847462	0.221975831	-0.049516124	0.250397086	-0.120382177	0.175347471	0.017244899	0.141890466	0.020876969	0.108808434	0.027715213	0.074949784	0.033685743	0.025689634	0.030772268	-0.016772435	0.02075499	-0.0205233	-0.001725848	0.021567018	-0.001552857	0.096061661	-0.010507335	0.127988925	-0.016654655	-0.067102167	0.172680763	-0.478572238	-0.080593446	-0.440659222	-0.014635817
31	SV	cladetwo	1	Sapajus_cay_8	Sapajus_cay	30	-54.75	-18.483	1.404833717	2.089905111	1.812913357	3.25163822	2.527629901	2.176091259	2.271841607	2.424881637	2.374748346	2.432969291	2.356025857	3.171141151	2.394451681	1.380211242	1.799340549	2.843232778	1.973127854	2.53529412	2.117271296	2.009884133	-0.089909442	1.113943352	10.08104738	2.310611602	-0.364320764	-0.085869569	-0.189934562	0.15218125	0.025091225	0.083094908	-0.055074388	-0.101564621	-0.05116803	-0.008184916	0.060714042	-0.005672596	0.168526605	-0.023937775	0.205299592	-0.036751749	0.220623215	-0.046690097	0.249550304	-0.118710009	0.182684962	0.011161618	0.145839959	0.024678579	0.108115809	0.028911177	0.072737431	0.031900985	0.020154638	0.03224737	-0.024059334	0.02464885	-0.026923446	-6.35E-04	0.01431073	-0.003415554	0.097345321	-0.012258139	0.13142829	-0.016883593	-0.065342947	0.170222335	-0.485185396	-0.08069472	-0.440413256	-0.017779051
32	SV	cladeone	1	Sapajus_libidinosus_1	Sapajus_libidinosus	31	-48.167	-18.367	1.374748346	2.093421685	1.832508913	3.225567713	2.492760389	2.113943352	2.257678575	2.397940009	2.330413773	2.397940009	2.322219295	3.134495856	2.445604203	0.84509804	1.929418926	2.868644438	1.361727836	2.796574333	1.602059991	1.91569365	-0.22040351	0.301029996	9.826780825	2.285111396	-0.357306261	-0.087003528	-0.188917465	0.147294597	0.032411535	0.0748711	-0.052753705	-0.111097226	-0.06013923	-0.003755333	0.05366638	-0.00398125	0.171379922	-0.021522697	0.213560648	-0.036470003	0.226553823	-0.04938073	0.257879984	-0.120914906	0.186990315	0.014775123	0.147749885	0.02028271	0.107186943	0.028801689	0.067669908	0.038719349	0.013406628	0.037721787	-0.029323982	0.024393649	-0.036921841	8.65E-04	0.007119111	0.00241154	0.093358645	-0.010503258	0.129057427	-0.018758488	-0.061394043	0.165871104	-0.49417339	-0.080649159	-0.427061235	-0.011970914
33	SV	cladeone	1	Sapajus_libidinosus_2	Sapajus_libidinosus	32	-51.717	-17.883	1.371067862	2.075546961	1.857332496	3.057666104	2.489958479	2.161368002	2.214843848	2.383815366	2.344392274	2.387389826	2.334453751	3.18610838	2.439332694	1.230448921	1.84509804	2.855519156	1.755874856	2.584331224	1.924279286	1.911999819	-0.181114599	0.301029996	11.85975586	2.472683287	-0.376990626	-0.086158536	-0.198201364	0.160129961	0.017453905	0.082839809	-0.065360751	-0.101320695	-0.040961202	-0.008112873	0.065168568	-0.007032747	0.162584729	-0.020877966	0.201402248	-0.03123392	0.217463589	-0.047403156	0.242111091	-0.119144099	0.169761691	0.021195586	0.145321011	0.018242932	0.111333981	0.023871943	0.078435093	0.030740337	0.032064701	0.028779509	-0.0097905	0.020340115	-0.013881474	-0.005035527	0.025520029	-0.004802955	0.097736129	-0.013834687	0.129344911	-0.016251461	-0.070736668	0.176191624	-0.480262991	-0.080615922	-0.439516101	-0.020507271
34	SV	cladeone	1	Sapajus_libidinosus_3	Sapajus_libidinosus	33	-49.267	-16.667	1.36361198	2.053078443	1.819543936	3.186673867	2.482873584	2.123851641	2.23299611	2.378397901	2.342422681	2.387389826	2.315970345	3.156851901	2.392696953	0.77815125	1.880813592	2.837588438	1.447158031	2.320146286	2.167317335	1.899950649	-0.12667941	0.301029996	9.259037606	2.225600113	-0.343088899	-0.09245201	-0.187253812	0.159647745	0.020011833	0.085192763	-0.0533035	-0.104458181	-0.059224057	-0.007067131	0.057955376	1.66E-04	0.157501144	-0.031816961	0.212159863	-0.043749875	0.220104386	-0.049491909	0.246834563	-0.123363061	0.191843861	0.009975893	0.155167536	0.019646685	0.115516243	0.031603348	0.070544174	0.041322426	0.018290633	0.035481021	-0.030888107	0.021136	-0.032269387	4.69E-04	0.012304809	0.007855825	0.0949255	-0.005406913	0.132474535	-0.017737236	-0.068711009	0.163238063	-0.505231271	-0.083747463	-0.425664416	-0.016443589
35	SV	cladeone	1	Sapajus_libidinosus_4	Sapajus_libidinosus	34	-49.967	-16.45	1.367355921	2.029383778	1.832508913	3.081347308	2.484299839	2.170261715	2.195899652	2.376576957	2.357934847	2.389166084	2.330413773	3.192009593	2.456366033	0.602059991	1.897627091	2.887054378	1.255272505	2.307496038	2.178976947	1.880583817	-0.12667941	0.301029996	10.79904795	2.378603435	-0.362692819	-0.082162026	-0.195119615	0.152483324	0.027924616	0.073326534	-0.051911285	-0.103585906	-0.052554327	-0.011660412	0.058627336	-0.004356026	0.170785411	-0.018388153	0.20957753	-0.03359181	0.225279351	-0.047068774	0.250328116	-0.116472024	0.178825504	0.017061762	0.14750794	0.019378028	0.107201186	0.028375499	0.070086687	0.033725262	0.018557074	0.028813759	-0.023684143	0.021691065	-0.026301094	-0.004411165	0.014041847	-0.002927541	0.094530096	-0.010369715	0.129192339	-0.01715499	-0.063698721	0.170988545	-0.488574367	-0.075820155	-0.437928662	-0.017875082
36	SV	cladeone	1	Sapajus_libidinosus_5	Sapajus_libidinosus	35	-51.633	-15.55	1.411619706	2.08278537	1.84509804	3.033423755	2.525044807	2.212187604	2.235528447	2.419955748	2.387389826	2.428134794	2.382017043	3.182414652	2.457881897	0.698970004	1.913813852	2.898725182	1.255272505	2.583198774	1.602059991	1.925602393	-0.150580576	0.301029996	9.961489629	2.297504437	-0.360288449	-0.08734926	-0.190853969	0.158299123	0.027070792	0.07904785	-0.043859614	-0.101999961	-0.066233949	-0.004150907	0.057763621	-0.006531292	0.168061942	-0.020507131	0.212630008	-0.034014594	0.228527676	-0.048204353	0.253143991	-0.119019494	0.181609868	0.016432312	0.145319146	0.018086208	0.107128476	0.023332722	0.06890283	0.027746207	0.014983922	0.027445977	-0.028716535	0.022799714	-0.035168222	1.66E-04	0.009673026	-8.60E-04	0.097511895	-0.011680745	0.133110199	-0.015920496	-0.061271184	0.173825571	-0.487489429	-0.081122588	-0.431556041	-0.015820676
37	SV	cladeone	1	Sapajus_libidinosus_6	Sapajus_libidinosus	36	-52.35	-14.683	1.397940009	2.133538908	1.84509804	3.116939647	2.525044807	2.152288344	2.285557309	2.409933123	2.36361198	2.418301291	2.361727836	3.175511813	2.439332694	0.602059991	1.908485019	2.871572936	1.176091259	2.593286067	1.612783857	1.932817619	-0.132532519	0.301029996	9.42764478	2.243646307	-0.361527331	-0.086994993	-0.160733491	0.15399401	0.046426199	0.067765679	-0.036682748	-0.113753383	-0.059895867	-0.014219843	0.04720745	3.00E-04	0.168444457	-0.022278666	0.221268281	-0.036436439	0.23435986	-0.0465582	0.263675088	-0.12112762	0.184874267	0.019819949	0.141281476	0.033124911	0.096936934	0.039921411	0.054438361	0.04005551	-8.22E-05	0.031820177	-0.041546652	0.016053765	-0.035850889	-0.017319126	-0.001614733	-0.00550617	0.088616753	-0.001846175	0.128007476	-0.002922714	-0.039557953	0.15667859	-0.507681398	-0.079622538	-0.430363296	-0.010948133
38	SV	cladeone	1	Sapajus_libidinosus_7	Sapajus_libidinosus	37	-52.75	-13.283	1.392696953	2.146128036	1.84509804	3.032215703	2.527629901	2.1430148	2.29666519	2.401400541	2.36361198	2.408239965	2.361727836	3.212187604	2.44870632	0.001	1.903089987	2.912753304	1.079181246	2.598790507	1.544068044	1.938968307	-0.158640526	1.146128036	10.47283379	2.347558043	-0.368888818	-0.086727814	-0.181413102	0.148693023	0.029427186	0.073854923	-0.054835852	-0.105638307	-0.052518877	-0.010353297	0.059571112	-0.001077961	0.163261442	-0.019740432	0.210923191	-0.033788049	0.225589532	-0.046223639	0.255511324	-0.120031553	0.177071217	0.013843873	0.144800806	0.021507563	0.1072561	0.029154832	0.070084479	0.034029951	0.019190799	0.032182613	-0.029290126	0.013019522	-0.029516573	-5.18E-04	0.01451869	0.003815504	0.095956451	-0.005610121	0.128160827	-0.013147171	-0.055779359	0.167268308	-0.486142082	-0.080385543	-0.442938365	-0.014128641
