PCA;ID;Photo;Locality;Species;Biome;Sex;Lat;Long;Ives;Env;PCH
36;37;BUBADUÉ3040_Sapajus_nigritus_MN_5684_Macho_mld;ES - Santa Teresa, São João de Petropolis - Mata da Escola;Sapajus_nigritus;Forest;M;-19.8;-40.68;Sapajus_nigritus_10;AF;19
37;38;BUBADUÉ3041_Sapajus_nigritus_MN_5681_Macho_mle;ES - Santa Teresa. Colonia do Milanez, 25 de julho;Sapajus_nigritus;Forest;M;-19.85;-40.55;Sapajus_nigritus_11;AF;19
38;39;BUBADUÉ3042_Sapajus_nigritus_MN_5699_Macho_mld;ES - Santa Teresa, São João de Petropolis - Mata da Escola;Sapajus_nigritus;Forest;M;-19.8;-40.68;Sapajus_nigritus_12;AF;19
40;41;BUBADUÉ3044_Sapajus_nigritus_MN_5701_Macho_mle;MG - Além Paraíba , Fazenda São Geraldo;Sapajus_nigritus;Forest;M;-21.82;-42.59;Sapajus_nigritus_14;AF;19
41;42;BUBADUÉ3203_Sapajus_libidinosus_MN_23321_Fêmea_mld;PE - Serrita;Sapajus_libidinosus;Savanna;F;-7.95;-39.3;Sapajus_libidinosus_5;SV;25
42;43;BUBADUÉ3204_Sapajus_libidinosus_MN_4619_Fêmea_mld;MG - Faz. Cabacal, Uberaba;Sapajus_libidinosus;Savanna;F;-19.42;-48.3;Sapajus_libidinosus_6;SV;25
43;44;BUBADUÉ3205_Sapajus_libidinosus_MN_4572_Fêmea_mle;MG -  Araguari;Sapajus_libidinosus;Savanna;F;-18.66;-48.29;Sapajus_libidinosus_7;SV;25
44;45;BUBADUÉ3206_Sapajus_libidinosus_MN_4585_Fêmea_mld;MG - *;Sapajus_libidinosus;Savanna;F;-17.5;-44.56;Sapajus_libidinosus_8;SV;25
45;46;BUBADUÉ3207_Sapajus_libidinosus_MN_4526_Fêmea_mld;MG -  Araguari;Sapajus_libidinosus;Savanna;F;-18.66;-48.29;Sapajus_libidinosus_9;SV;25
46;47;BUBADUÉ3208_Sapajus_libidinosus_MN_4618_Macho_mld;MG - Faz. Pantano, Patos de Minas;Sapajus_libidinosus;Savanna;M;-18.6;-46.82;Sapajus_libidinosus_10;SV;25
47;48;BUBADUÉ3209_Sapajus_libidinosus_MN_4624_Macho_mld;"MG - Faz. Violeta; Estrella do Sul, Cascalho Rico";Sapajus_libidinosus;Savanna;M;-18.57;-47.91;Sapajus_libidinosus_11;SV;25
48;49;BUBADUÉ3210_Sapajus_libidinosus_MN_4587_Macho_mld;MG -  Araguari;Sapajus_libidinosus;Savanna;M;-18.66;-48.29;Sapajus_libidinosus_12;SV;25
49;50;BUBADUÉ3211_Sapajus_libidinosus_MN_4586_Macho_mld;MG - Faz. Cabacal, Uberaba;Sapajus_libidinosus;Savanna;M;-19.42;-48.3;Sapajus_libidinosus_13;SV;25
50;51;BUBADUÉ3212_Sapajus_libidinosus_MN_4575_Macho_mld;MG -  Araguari;Sapajus_libidinosus;Savanna;M;-18.66;-48.29;Sapajus_libidinosus_14;SV;25
51;52;BUBADUÉ3223_Sapajus_robustus_MN_21189_Macho_mld;ES - Faz. Samambaia, Conceição da Barra;Sapajus_robustus;Forest;M;-18.58;-40.08;Sapajus_robustus_5;AF;18
52;53;BUBADUÉ3224_Sapajus_robustus_MN_21194_Macho_mld;ES - Mata São João, Vila São Domingos;Sapajus_robustus;Forest;M;-19.59;-40.54;Sapajus_robustus_6;AF;18
53;54;BUBADUÉ3225_Sapajus_robustus_MN_21218_Macho_mld;BA - Sapucaieira, Alcobaça;Sapajus_robustus;Forest;M;-17.5;-39.33;Sapajus_robustus_7;AF;18
54;55;BUBADUÉ3226_Sapajus_robustus_MN_21214_Macho_mld;BA - Mucurizinho, Mucuri;Sapajus_robustus;Forest;M;-17.98;-39.96;Sapajus_robustus_8;AF;18
55;56;BUBADUÉ3227_Sapajus_robustus_MN_21217_Fêmea_mld;BA - Sapucaieira, Alcobaça;Sapajus_robustus;Forest;F;-17.5;-39.33;Sapajus_robustus_9;AF;18
56;57;BUBADUÉ3228_Sapajus_robustus_MN_21209_Fêmea_mld;BA - Mucurizinho, Mucuri;Sapajus_robustus;Forest;F;-17.98;-39.96;Sapajus_robustus_10;AF;18
57;58;BUBADUÉ3229_Sapajus_robustus_MN_21219_Fêmea_mld;BA - Sapucaieira, Alcobaça;Sapajus_robustus;Forest;F;-17.5;-39.33;Sapajus_robustus_11;AF;18
58;59;BUBADUÉ3230_Sapajus_robustus_MN_21222_Fêmea_mld;BA - Sapucaieira, Alcobaça;Sapajus_robustus;Forest;F;-17.5;-39.33;Sapajus_robustus_12;AF;18
59;60;BUBADUÉ3238_Sapajus_xanthosternos_MN_23228_Macho_mld;MG - Belmonte, Belo Horizonte;Sapajus_xanthosternos;Forest;M;-19.85;-43.9;Sapajus_xanthosternos_6;AF;8
60;62;BUBADUÉ3249_Sapajus_cay_MN_4831_Fêmea_mld;MS - Maracajú;Sapajus_cay;Savanna;F;-21.43;-55.66;Sapajus_cay_4;SV;17
61;64;BUBADUÉ3250_Sapajus_cay_MN_4633_Fêmea_mld;MT - Cuiabá;Sapajus_cay;Savanna;F;-15.68;-56.07;Sapajus_cay_5;SV;17
62;65;BUBADUÉ3251_Sapajus_cay_MN_4826_Fêmea_mld;MT - Cuiabá;Sapajus_cay;Savanna;F;-15.68;-56.07;Sapajus_cay_6;SV;17
63;66;BUBADUÉ3252_Sapajus_cay_MN_8502_Macho_mld;"MT - Posto Jacaré; Baixo Kuluene, Alto Xingu";Sapajus_cay;Savanna;M;-13.52;-53.1;Sapajus_cay_7;SV;17
64;67;BUBADUÉ3253_Sapajus_cay_MN_23357_Macho_mld;MT - Rio Arraias, Alto Xingu;Sapajus_cay;Savanna;M;-12;-54.45;Sapajus_cay_8;SV;17
65;68;BUBADUÉ3254_Sapajus_cay_MN_4833_Macho_mld;MS - Maracajú;Sapajus_cay;Savanna;M;-21.43;-55.66;Sapajus_cay_9;SV;17
69;67;1508_5788;MS - Salobra;Sapajus_cay;Savanna;M;-20.2;-56.55;Sapajus_cay_10;SV;17
70;68;1510_19696;MT - Rio Piquiri;Sapajus_cay;Savanna;F;-17.23;-56.01;Sapajus_cay_11;SV;17
71;69;1520_19680;"MS - Porto XV de Novembro; Faz. Santa Bárbara";Sapajus_cay;Savanna;F;-21.73;-52.25;Sapajus_cay_12;SV;17
72;70;1526_4299;MS - Salobra;Sapajus_cay;Savanna;M;-20.2;-56.55;Sapajus_cay_13;SV;17
73;71;1527_6323;"MT - Bom Jesus do Araguaia; Palmeiras";Sapajus_cay;Savanna;M;-12.29;-51.86;Sapajus_cay_14;SV;17
74;72;1529_3363;MS - Corumbá;Sapajus_cay;Savanna;F;-19.03;-57.63;Sapajus_cay_15;SV;17
75;73;1533_3361;MS - Corumbá;Sapajus_cay;Savanna;M;-19.03;-57.63;Sapajus_cay_16;SV;17
76;74;1537_3360;MS - Corumbá;Sapajus_cay;Savanna;F;-19.03;-57.63;Sapajus_cay_17;SV;17
77;75;1538_3770;MS - Coxim;Sapajus_cay;Savanna;F;-18.32;-54.74;Sapajus_cay_18;SV;17
79;76;1542_28539;"MS - Brasilândia; Faz. Barma";Sapajus_cay;Savanna;F;-21.26;-51.91;Sapajus_cay_20;SV;17
80;77;1544_3775;MS - Miranda;Sapajus_cay;Savanna;M;-20.25;-56.4;Sapajus_cay_21;SV;17
81;78;1548_4317;MS - Corumbá;Sapajus_cay;Savanna;M;-19.03;-57.63;Sapajus_cay_22;SV;17
82;79;1551_6964;MT - São Domingos, Rio das Mortes;Sapajus_cay;Savanna;F;-13.55;-51.41;Sapajus_cay_23;SV;17
83;80;1556_6960;MT - São Domingos, Rio das Mortes;Sapajus_cay;Savanna;M;-13.55;-51.41;Sapajus_cay_24;SV;17
84;81;1559_6963;MT - São Domingos, Rio das Mortes;Sapajus_cay;Savanna;F;-13.55;-51.41;Sapajus_cay_25;SV;17
85;82;1562_6970;MT - São Domingos, Rio das Mortes;Sapajus_cay;Savanna;M;-13.55;-51.41;Sapajus_cay_26;SV;17
86;83;1567_6961;MT - Porto Guaporé, Rio 7 de Setembro;Sapajus_cay;Savanna;M;-13.58;-52.43;Sapajus_cay_27;SV;17
87;84;1576_10716;PA - Lagoa Ipavu, Parque do Xingu;Sapajus_cay;Savanna;M;-12.14;-53.44;Sapajus_cay_28;SV;17
88;85;1581_6321;MT - Rio Aricá, Fazenda Aricá;Sapajus_cay;Savanna;F;-15.31;-57.55;Sapajus_cay_29;SV;17
89;86;1583_2883;MA - Miritiba;Sapajus_apella;Forest;M;-2.6;-43.46;Sapajus_apella_11;AM;15
90;87;1585_2745;MA - Miritiba;Sapajus_apella;Forest;F;-2.6;-43.46;Sapajus_apella_12;AM;15
91;88;1587_2488;MA - Boa Vista;Sapajus_libidinosus;Savanna;M;-2.48;-43.31;Sapajus_libidinosus_15;SV;25
92;89;1591_2364;"GO - Faz. Esperança; Rio Araguaia";Sapajus_libidinosus;Savanna;F;-14.29;-50.96;Sapajus_libidinosus_16;SV;25
93;90;1592_2365;"GO - Faz. Esperança; Rio Araguaia";Sapajus_libidinosus;Savanna;M;-14.29;-50.96;Sapajus_libidinosus_17;SV;25
