TPS,Espécime,Foto,Tombo,Museu,Localidade,Especie,Sexo,Local,Coordenadas,Obs,Massa (g),Data de coleta
47,47,BUBADUÉ 3208,4618,Museu Nacional (MN),"MG - Faz. Pantano, Patos de Minas",Sapajus_libidinosus,M,29,"18°35'45.0""S 46°49'29.1""W",INCLINADO,2350,30/07/1935
48,48,BUBADUÉ 3209,4624,Museu Nacional (MN),"MG - Faz. Violeta; Estrella do Sul, Cascalho Rico",Sapajus_libidinosus,M,32,"18°44'27.2""S 47°41'37.4""W",,1750,09/11/35
49,49,BUBADUÉ 3210,4587,Museu Nacional (MN),"MG - Faz. Sinhozinho, Araguari",Sapajus_libidinosus,M,31,"18°38'48.8""S 48°11'59.4""W",,3300,30/10/35
50,50,BUBADUÉ 3211,4586,Museu Nacional (MN),"MG - Faz. Cabacal, Uberaba",Sapajus_libidinosus,M,26,"19°24'40.4""S 48°20'31.1""W",,2750,23/09/1935
51,51,BUBADUÉ 3212,4575,Museu Nacional (MN),"MG - Faz. Duas Pontas, Araguari",Sapajus_libidinosus,M,27,"18°38'42.2""S 48°12'18.3""W",,3250,28/09/1935
52,52,BUBADUÉ 3223,21189,Museu Nacional (MN),"ES - Faz. Samambaia, Conceição da Barra",Sapajus_robustus,M,12,"18°34'54.0""S 39°44'04.0""W",,,
53,53,BUBADUÉ 3224,21194,Museu Nacional (MN),"ES - Mata São João, Vila São Domingos",Sapajus_robustus,M,13,"20°07'11.7""S 40°18'16.1""W",,,
54,54,BUBADUÉ 3225,21218,Museu Nacional (MN),"BA - Faz. Vargem do Outeiro; Sapucaieira, Alcobaça",Sapajus_robustus,M,9,"17°31'54.9""S 39°12'15.3""W",,,
55,55,BUBADUÉ 3226,21214,Museu Nacional (MN),"BA - Mucurizinho, Mucuri",Sapajus_robustus,M,10,"18°04'47.5""S 39°33'15.7""W",,4500,30/06/1949
56,56,BUBADUÉ 3227,21217,Museu Nacional (MN),"BA - Faz. Mucugê; Sapucaieira, Alcobaça",Sapajus_robustus,F,7,"17°31'54.9""S 39°12'15.3""W",,2200,05/06/49
57,57,BUBADUÉ 3228,21209,Museu Nacional (MN),"BA - Mucurizinho, Mucuri",Sapajus_robustus,F,10,"18°04'47.5""S 39°33'15.7""W",,2200,22/06/1949
58,58,BUBADUÉ 3229,21219,Museu Nacional (MN),"BA - Faz. Vargem do Outeiro; Sapucaieira, Alcobaça",Sapajus_robustus,F,9,"17°31'54.9""S 39°12'15.3""W",,2300,09/06/49
59,59,BUBADUÉ 3230,21222,Museu Nacional (MN),"BA - Faz. Mucugê; Sapucaieira, Alcobaça",Sapajus_robustus,F,7,"17°31'54.9""S 39°12'15.3""W",,1500,30/05/1949
60,60,BUBADUÉ 3238,23228,Museu Nacional (MN),"MG - Belmonte, Belo Horizonte",Sapajus_xanthosternos,M,25,"19°50'45.9""S 43°54'05.0""W",,,
61,,BUBADUÉ 3240,23229,Museu Nacional (MN),"MG - Passuí, Belo Horizonte",Sapajus_xanthosternos,M,33,"19°38'49.8""S 43°56'46.8""W",Quebrado,2600,
62,61,BUBADUÉ 3249,4831,Museu Nacional (MN),MS - Maracajú,Sapajus_cay,F,38,"21°37'50.9""S 55°09'34.7""W",,,
63,62,BUBADUÉ 3250,4633,Museu Nacional (MN),"MT - Capas de Boi, Cuiabá",Sapajus_cay,F,43,"15°35'39.9""S 56°05'51.4""W",Outlier,,xx/xx/1935
65,63,BUBADUÉ 3251,4826,Museu Nacional (MN),MT - Cuiabá,Sapajus_cay,F,44,"15°35'44.9""S 56°05'24.7""W",,,
66,64,BUBADUÉ 3252,8502,Museu Nacional (MN)," MT - Posto Jacaré; Baixo Kuluene, Alto Xingu",Sapajus_cay,M,1,"11°47'39.3""S 53°34'30.8""W",apella/libidinosus,,20/06/1948
67,65,BUBADUÉ 3253,23357,Museu Nacional (MN),"MT - Rio Arraia, Alto Xingu",Sapajus_cay,M,48,"10°28'02.6""S 53°47'41.5""W",apella/libidinosus,,24/08/1956
68,66,BUBADUÉ 3254,4833,Museu Nacional (MN),MS - Maracajú,Sapajus_cay,M,38,"21°37'50.9""S 55°09'34.7""W",,,
69,67,1508,5788,Museu de Zoologia da USP (MUZUSP),MS - Salobra,Sapajus_cay,M,41,"-20.201946299004035, -56.54840165018993",,,
70,68,1510,19696,Museu de Zoologia da USP (MUZUSP),MT - Rio Piquiri,Sapajus_cay,F,49,"-17.23322492971386, -56.011166727856825",,,
71,69,1520,19680,Museu de Zoologia da USP (MUZUSP),MS - Porto XV de Novembro; Faz. Santa Bárbara ,Sapajus_cay,F,40,"-21.725390220554146, -52.25076148861101",,,
72,70,1526,4299,Museu de Zoologia da USP (MUZUSP),MS - Salobra,Sapajus_cay,M,41,"-20.201946299004035, -56.54840165018993",,,
73,71,1527,6323,Museu de Zoologia da USP (MUZUSP),MT - Bom Jesus do Araguaia; Palmeiras,Sapajus_cay,M,42,"-12.28896786281545, -51.8575437502497",,,
74,72,1529,3363,Museu de Zoologia da USP (MUZUSP),MS - Corumbá ,Sapajus_cay,F,36,"-19.031649053448117, -57.63112628850907",,,
75,73,1533,3361,Museu de Zoologia da USP (MUZUSP),MS - Corumbá ,Sapajus_cay,M,36,"-19.031649053448117, -57.63112628850907",,,
76,74,1537,3360,Museu de Zoologia da USP (MUZUSP),MS - Corumbá ,Sapajus_cay,F,36,"-19.031649053448117, -57.63112628850907",,,
77,75,1538,3770,Museu de Zoologia da USP (MUZUSP),MS - Coxim,Sapajus_cay,F,37,"-18.317162029567186, -54.74316009054779",,,
78,,1540,3774,Museu de Zoologia da USP (MUZUSP),MS - Miranda,Sapajus_cay,F,39,"-20.248107099132145, -56.3994942490396",Quebrado,,
79,76,1542,28539,Museu de Zoologia da USP (MUZUSP),MS - Brasilândia; Faz. Barma,Sapajus_cay,F,35,"-21.25853280664087, -51.9110292696835",,,
80,77,1544,3775,Museu de Zoologia da USP (MUZUSP),MS - Miranda,Sapajus_cay,M,39,"-20.248107099132145, -56.3994942490396",,,
81,78,1548,4317,Museu de Zoologia da USP (MUZUSP),MS - Corumbá ,Sapajus_cay,M,36,"-19.031649053448117, -57.63112628850907",,,
82,79,1551,6964,Museu de Zoologia da USP (MUZUSP),"MT - São Domingos, Rio das Mortes",Sapajus_cay,F,50,"-13.548480637863193, -51.4127186132448",,,
83,80,1556,6960,Museu de Zoologia da USP (MUZUSP),"MT - São Domingos, Rio das Mortes",Sapajus_cay,M,51,"-13.548480637863193, -51.4127186132448",,,
84,81,1559,6963,Museu de Zoologia da USP (MUZUSP),"MT - São Domingos, Rio das Mortes",Sapajus_cay,F,51,"-13.548480637863193, -51.4127186132448",,,
85,82,1562,6970,Museu de Zoologia da USP (MUZUSP),"MT - São Domingos, Rio das Mortes",Sapajus_cay,M,51,"-13.548480637863193, -51.4127186132448",,,
86,83,1567,6961,Museu de Zoologia da USP (MUZUSP),"MT - Porto Guaporé, Rio 7 de Setembro",Sapajus_cay,M,46,"-13.57907020021861, -52.42609579370743",,,
87,84,1576,10716,Museu de Zoologia da USP (MUZUSP),"PA - Lagoa Ipavu, Parque do Xingu",Sapajus_cay,M,58,"-12.14116699549517, -53.43570795285288",,,
88,85,1581,6321,Museu de Zoologia da USP (MUZUSP),"MT - Rio Aricá, Fazenda Aricá",Sapajus_cay,F,47,"-15.30560445133098, -57.54874872328417",,,
89,86,1583,2883,Museu de Zoologia da USP (MUZUSP),MA - Miritiba,Sapajus_apella,M,22,"-2.5977459656091173, -43.45908945508429",,,
90,87,1585,2745,Museu de Zoologia da USP (MUZUSP),MA - Miritiba,Sapajus_apella,F,22,"-2.5977459656091173, -43.45908945508429",,,
91,88,1587,2488,Museu de Zoologia da USP (MUZUSP),MA - Boa Vista,Sapajus_libidinosus,M,21,"-2.4776558964425304, -43.30527208015287",,,
92,89,1591,2364,Museu de Zoologia da USP (MUZUSP),GO - Faz. Esperança; Rio Araguaia,Sapajus_libidinosus,F,17,"-14.294992530079817, -50.96342132561898",,,
