sp_ives	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	npp	humid	pevapo	soilmoist	gdd	evapo
Sapajus_robustus	0.161797335	-1.16903592	-0.514928594	0.241757739	-0.208498858	0.574328166	-0.823150009	-0.080294303	-0.057348258	0.43716971	0.066941302	-0.600661721	-1.476873325	1.204238625	-2.008379007	-1.529726576	1.333539715	-0.590520641	-0.073877408	1.61097215	0.669198421	-0.000452326	-0.139432015	-0.064439419	0.25111853
Sapajus_robustus_2	0.161797335	-1.16903592	-0.514928594	0.241757739	-0.208498858	0.574328166	-0.823150009	-0.080294303	-0.057348258	0.43716971	0.066941302	-0.600661721	-1.476873325	1.204238625	-2.008379007	-1.529726576	1.333539715	-0.590520641	-0.073877408	1.61097215	0.669198421	-0.000452326	-0.139432015	-0.064439419	0.25111853
Sapajus_robustus_3	-0.053766743	-0.530137899	-0.510081622	0.419570491	-0.088722787	0.147532236	-0.235280711	0.147369914	-0.278340463	0.237618626	-0.173405909	-0.866736424	-1.476873325	0.637225544	-1.241576841	-1.347738082	0.562694089	-0.466632582	-0.324924486	1.61097215	0.503397021	0.048117991	-0.832281343	-0.132553954	-0.04458783
Sapajus_robustus_4	-0.053766743	-0.530137899	-0.510081622	0.419570491	-0.088722787	0.147532236	-0.235280711	0.147369914	-0.278340463	0.237618626	-0.173405909	-0.866736424	-1.476873325	0.637225544	-1.241576841	-1.347738082	0.562694089	-0.466632582	-0.324924486	1.61097215	0.503397021	0.048117991	-0.832281343	-0.132553954	-0.04458783
Sapajus_robustus_5	-0.173163007	-0.398905511	-0.664805017	0.508374473	-0.05781221	-0.018995102	-0.016629863	0.005703199	-0.371001198	0.149559881	-0.274182084	-0.912914678	-1.362432447	0.259216824	-0.848873814	-1.191025768	0.30253369	-0.44082257	-0.409652875	1.229615578	0.669198421	-0.047041153	-1.147326995	-0.252494767	-0.118677171
Sapajus_robustus_6	-0.12103105	0.65986532	-0.301171823	0.622486951	0.291857316	-0.434762724	0.713951575	0.144877423	-0.413026831	0.216833086	-0.319888419	-0.994276364	-0.632871846	-0.591302798	0.720070423	-0.55406604	-0.670658913	-0.027862375	-0.726599811	0.71277667	-0.159808578	-1.208682512	-0.391424265	-0.886256096	-1.033088181
Sapajus_robustus_7	-0.12103105	0.65986532	-0.301171823	0.622486951	0.291857316	-0.434762724	0.713951575	0.144877423	-0.413026831	0.216833086	-0.319888419	-0.994276364	-0.632871846	-0.591302798	0.720070423	-0.55406604	-0.670658913	-0.027862375	-0.726599811	0.71277667	-0.159808578	-1.208682512	-0.391424265	-0.886256096	-1.033088181
Sapajus_robustus_8	-0.641440575	-0.103903573	-0.733206316	0.697736365	-0.36884512	-0.470053145	0.308072964	-0.525651582	-0.591174039	-0.331930774	-0.673943638	-0.888726069	-1.019109811	0.164714643	-0.376631285	-0.892766848	0.138728994	-0.389202546	-0.463000379	0.426759242	0.503397021	-0.782347078	-0.477877174	-0.627124711	-0.497393721
Sapajus_xanthosternos	-0.243832004	0.133297683	0.269637416	0.251825872	-0.040425643	0.064820074	-0.104352227	-0.221961019	0.068113385	-0.305476064	-0.317881637	-1.851872513	-2.263654365	-0.370797711	-1.098059045	-2.272846259	-0.371956233	-0.967346819	-0.431619494	-2.583951651	-1.817822577	-1.201269612	-2.215133893	-0.553087173	-2.404687224
Sapajus_xanthosternos_2	-0.243832004	0.133297683	0.269637416	0.251825872	-0.040425643	0.064820074	-0.104352227	-0.221961019	0.068113385	-0.305476064	-0.317881637	-1.851872513	-2.263654365	-0.370797711	-1.098059045	-2.272846259	-0.371956233	-0.967346819	-0.431619494	-2.583951651	-1.817822577	-1.201269612	-2.215133893	-0.553087173	-2.404687224
Sapajus_xanthosternos_3	-0.008217303	-1.675246514	-0.727525447	0.193503455	-0.747493484	0.574328166	-1.188441196	-0.323329479	0.148678987	0.140111617	-0.029376063	-0.248827403	-1.619924423	2.086258973	-2.501441677	-1.635886531	1.959851787	-0.445984573	0.271312324	1.1844546	0.669198421	0.275843519	-0.538251049	-0.262860022	0.435590042
Sapajus_xanthosternos_4	-1.261951669	0.966500306	-0.080154016	0.600720739	-0.921361915	-1.226595754	0.831787522	-1.404318493	-1.178095357	-1.336863766	-1.151963408	-0.341183911	0.668893147	-0.717305705	1.213819214	0.451925912	-0.786285757	0.916784073	-0.764256872	1.028901421	-0.491411378	-1.16163517	-0.308135185	-2.059010705	-1.054843444
