sp;lat;long;sex;biome;fac;pch;CS;LogCS;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
Sapajus_cay;-13.5790702;-52.42609579;M;Savanna;SV;17;8.596070528;2.151305183;24.69083405;14.10633373;69.62651825;117.14785;33.72000122;13.46000004;20.26000214;25.18400002;23.05200005;25.70266724;22.97800064;1531;275;1;85.20724487;790;13;362;33;0.694000006;74;85.25479889
Sapajus_cay;-14.184;-56.6203;M;Savanna;SV;17;8.993975817;2.196381727;23.9489994;13.6206665;76.52059937;77.31279755;32.09199905;14.29199982;17.79999924;24.38999939;23.30866623;24.86066628;23.24866676;1817;295;7;74.00042725;849;46;684;75;0.80400002;75;97.22869873
Sapajus_cay;-19.03164905;-57.63112629;M;Savanna;SV;17;8.538800352;2.141179581;25.88583374;10.31700039;63.03152847;229.9044189;33.24399948;16.87599945;16.36800003;27.93066788;22.79000092;28.02666664;22.71333313;1045;181;21;62.0209198;468;74;455;105;0.513000011;73;22.75200081
Sapajus_cay;-20.2019463;-56.54840165;M;Savanna;SV;17;8.398705704;2.126407757;24.8125;11.73433399;62.5764389;257.9099731;33;14.24800014;18.7519989;27.30400085;21.32466698;27.30400085;21.32466698;1291;204;33;52.4221611;547;121;547;121;0.654999971;71;65.65899658
Sapajus_cay;-20.2481071;-56.39949425;M;Savanna;SV;17;9.030732086;2.200633437;24.7215004;11.6716671;62.76438904;255.4868164;32.86400223;14.26799965;18.59600258;27.17733383;21.26000023;27.17733383;21.26000023;1318;207;32;52.26408005;558;122;558;122;0.654999971;71;82.36199951
Sapajus_cay;-21.4349177;-55.65515673;M;Savanna;SV;17;8.148193785;2.097796281;22.65049934;11.48700047;62.40221786;244.7049103;30.68799973;12.27999973;18.40800095;25.02400017;19.46666718;25.14999962;19.42000008;1424;190;41;40.98710632;519;154;515;226;0.456999987;73;114.6192017
Sapajus_libidinosus;-14.29499253;-50.96342133;M;Savanna;SV;25;8.033746275;2.083650954;25.60750008;12.20166683;67.56182861;121.2664032;33.5;15.43999958;18.06000137;26.11266708;23.91266632;26.69466591;23.85466766;1542;281;4;84.74241638;764;16;424;36;0.60799998;71;77.1312027
Sapajus_libidinosus;-16.35534286;-50.02114195;M;Savanna;SV;25;10.36826562;2.338286435;22.67866707;10.89866638;67.34223175;111.7825012;29.96800041;13.7840004;16.18400002;23.02866745;21.33600044;23.77933311;21.02599907;1712;292;10;77.95446777;831;40;473;62;0.648999989;70;84.98770142
Sapajus_libidinosus;-18.1219654;-51.55654416;M;Savanna;SV;25;9.309085798;2.229683339;22.5478344;12.06633377;69.74759674;146.2909393;29.7159996;12.41600037;17.29999924;23.52933311;20.64599991;23.69533348;20.3453331;1602;290;17;73.94245148;775;61;638;86;0.433999985;71;97.05950165
Sapajus_libidinosus;-18.5719296;-47.91472561;M;Savanna;SV;25;8.706362413;2.16405407;22.30699921;10.93133354;68.68141174;171.2718506;28.84399986;12.92800045;15.91599941;23.60400009;19.94666672;23.70266724;19.78666687;1441;295;5;89.80683136;770;18;667;37;0.703999996;69;95.52200317
Sapajus_libidinosus;-18.5958;-46.8248;M;Savanna;SV;25;9.40260408;2.240986681;19.94849968;10.70166683;70.03709412;152.5575714;26.32799911;11.04800034;15.27999878;20.88533401;17.82933426;21.22333336;17.71199989;1617;331;10;85.48416901;854;33;712;53;0.768000007;69;93.95629883
Sapajus_libidinosus;-18.65664968;-48.28687774;M;Savanna;SV;25;10.49100798;2.350443884;21.80833435;11.65266705;69.67630768;152.7482147;29.04400063;12.31999969;16.72400093;22.84666634;19.87733269;22.92933273;19.45866585;1543;321;10;85.82582855;814;33;389;47;0.601999998;71;87.2480011
Sapajus_libidinosus;-19.4232302;-48.30346523;M;Savanna;SV;25;9.471166088;2.248252035;21.7626667;12.00666714;68.43745422;166.9176178;29.2840004;11.73999977;17.54400063;23.03000069;19.57733345;23.06000137;19.2373333;1572;284;18;77.84453583;786;57;699;74;0.616999984;72;95.49749756
Sapajus_libidinosus;-2.477655896;-43.30527208;M;Savanna;SV;25;9.498940547;2.251180271;27.3496666;8.987333298;81.88168335;45.75656891;33.12400055;22.14800072;10.97599983;26.91333389;27.94466782;27.97599983;26.91333389;1731;365;6;94.73842621;989;21;68;989;0.522000015;78;135.6993162
Sapajus_nigritus;-19.79820319;-40.68281548;M;Forest;AF;19;9.965674339;2.298212187;22.25650024;10.50233269;63.06949615;197.2624207;30.1760006;13.52400017;16.65200043;23.7753334;19.71066666;24.62400055;19.71066666;1247;198;42;55.04610825;564;142;373;142;0.851000011;80;75.41369629
Sapajus_nigritus;-19.84573935;-40.55203918;M;Forest;AF;19;10.8479329;2.383974545;19.03116608;9.865666389;62.5517807;196.6887665;26.39999962;10.62800026;15.77199936;20.55999947;17.07866669;21.3793335;16.5019989;1346;203;50;49.24126816;579;172;398;172;0.851000011;80;75.41369629
Sapajus_nigritus;-21.82169193;-42.59318525;M;Forest;AF;19;8.719921141;2.165610194;21.90933228;12.13600063;62.08307648;239.009491;31.07600021;11.52799988;19.54800034;24.47200012;18.79599953;24.78199959;18.79599953;1294;256;18;76.95401001;650;60;536;60;0.980000019;79;103.4161987
Sapajus_nigritus;-22.1218764;-48.82363954;M;Forest;AF;19;11.58489709;2.449702275;21.78466606;11.80799961;64.96479034;233.9955292;29.65999985;11.48400021;18.17599869;24.24799919;18.78733444;24.24799919;18.67000008;1160;219;21;69.92007446;578;87;578;108;0.768999994;69;99.73370361
Sapajus_nigritus;-23.97585942;-46.6185314;M;Forest;AF;19;11.86495387;2.473589002;18.19466591;7.779999733;52.35531235;248.0896759;25.14800072;10.28800011;14.86000061;21.25399971;15.16466713;21.25399971;15.16466713;2682;340;111;37.90048599;986;363;986;363;1.074000001;81;148.1051025
Sapajus_nigritus;-26.16795849;-48.66507271;M;Forest;AF;19;10.09219804;2.311762654;20.72745132;7.514705658;47.63236618;291.6759033;28.51764679;12.74117661;15.77647018;24.47352982;17.33823395;24.47352982;17.33823395;1823;269;82;39.61027145;730;266;730;266;1.011;80;152.603952
Sapajus_robustus;-17.50178139;-39.33456198;M;Forest;AF;18;8.517065592;2.142071867;24.48583412;8.413000107;64.91512299;162.085144;30.88800049;17.9279995;12.96000099;24.92666626;22.41799927;26.41600037;22.41799927;1358;162;73;22.57325935;429;263;333;263;1.087000012;81;84.57080078
Sapajus_robustus;-17.97675;-39.9635547;M;Forest;AF;18;10.69705589;2.369968553;24.01099968;9.584667206;64.95436859;175.0557098;31.13599968;16.37999916;14.75600052;25.29199982;21.69933319;26.06399918;21.69933319;1237;162;55;37.95938873;465;183;357;183;1.087000012;80;65.82479858
Sapajus_robustus;-18.57940006;-40.078222;M;Forest;AF;18;10.23911763;2.326215447;23.74799919;9.825332642;63.70158386;181.5335236;31.20000076;15.77600002;15.42400074;25.06466675;21.39800072;25.90866661;21.39800072;1216;170;43;45.83909988;496;156;362;156;1.011000037;81;57.30080032
Sapajus_robustus;-18.91351598;-42.0949177;M;Forest;AF;18;10.04861682;2.307430236;23.86283302;11.76699924;66.64589691;189.8574677;31.92399979;14.26799965;17.65600014;25.28800011;21.26133347;26.02733421;21.26133347;1179;221;16;77.32046509;622;55;442;55;0.907999992;76;77.75279999
Sapajus_robustus;-19.58829448;-40.54194181;M;Forest;AF;18;10.55825472;2.356907992;22.71649933;10.36633301;63.14774323;195.3465424;30.55599976;14.14000034;16.41600037;24.21199989;20.68199921;25.0593338;20.20266724;1227;194;40;55.31479645;555;139;372;139;0.851000011;80;75.41369629
Sapajus_xanthosternos;-10.47489842;-40.13617757;M;Forest;AF;8;9.936131102;2.293055916;23.59233284;10.80133343;71.2677002;162.8195648;31.23600006;16.07999992;15.15600014;24.69933319;22.82600021;25.10599899;21.26733398;789;107;23;40.83911896;282;86;260;149;0.250999987;66;28.40979958
Sapajus_xanthosternos;-19.84927976;-43.90362749;M;Forest;AF;8;8.47529797;2.137155811;21.3496666;12.32933331;68.43546295;188.2697296;29.41200066;11.39599991;18.01600075;22.80200005;18.7733326;23.28666687;18.7733326;1476;312;12;87.22769165;821;43;625;43;0.971000016;74;80.00630188
