id;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
32;0.365;1.916;-0.132;-0.738;1.714;-0.549;1.694;0.092;0.343;-0.043;0.473;0.289;0.563;-0.998;0.931;0.788;-0.984;1.206;-0.734;-0.190;0.056;0.081
33;0.325;1.526;0.130;-0.920;1.212;-0.361;1.167;0.003;0.365;-0.157;0.522;0.357;0.751;-0.998;1.052;0.905;-1.012;1.296;-0.744;0.200;0.384;0.167
34;-1.170;0.672;-0.106;0.303;-1.075;-1.118;0.586;-1.365;-0.981;-1.569;-1.058;-0.114;0.260;-0.481;0.686;0.269;-0.601;1.296;-0.634;-0.768;-0.762;0.323
35;-1.148;0.487;0.050;0.109;-1.195;-0.956;0.329;-1.485;-0.885;-1.647;-0.980;-0.178;0.794;-0.724;1.079;0.412;-0.825;-0.351;-0.718;-0.846;-0.926;-0.009
36;-2.044;-0.011;0.095;0.106;-2.553;-1.310;-0.124;-2.761;-1.541;-2.665;-1.591;-0.016;0.938;-0.724;1.062;0.615;-0.825;1.365;-0.700;0.018;-1.254;0.261
37;-0.908;0.109;-0.075;0.363;-1.295;-0.787;0.076;-0.992;-0.862;-1.185;-0.866;-0.400;0.419;-0.876;1.275;0.188;-0.966;1.126;-0.750;-0.315;-1.254;0.324
38;-0.295;1.042;-0.063;0.488;-0.092;-0.833;0.881;-0.207;-0.482;-0.423;-0.482;-0.337;0.145;-0.694;0.873;0.086;-0.788;0.744;-0.687;-1.211;-0.599;-0.055
39;-0.792;0.704;0.059;0.020;-0.859;-0.930;0.510;-1.041;-0.638;-1.190;-0.671;-0.049;0.347;-0.511;0.494;0.213;-0.564;0.972;-0.596;-1.721;-0.926;0.386
40;-0.774;1.185;-0.046;0.538;-0.451;-1.132;0.994;-0.829;-0.858;-0.952;-0.806;-1.389;-0.879;-0.937;1.435;-0.810;-1.003;-0.139;-0.822;-0.612;-1.254;-1.289
41;-0.621;0.119;-0.092;-0.395;-0.677;-0.459;0.093;-1.186;-0.368;-0.994;-0.385;0.078;0.390;-0.724;0.727;0.432;-0.779;-0.006;-0.671;-0.092;-1.581;0.114
42;-0.729;0.092;-0.244;-0.454;-0.733;-0.549;0.160;-1.366;-0.417;-1.140;-0.433;0.191;0.376;-0.724;0.691;0.498;-0.760;0.095;-0.671;-0.602;-1.090;-0.100
43;-0.374;-2.104;-0.901;-0.044;-1.433;0.561;-1.531;-0.205;-0.076;-0.405;-0.258;-0.518;-1.744;1.618;-2.338;-1.737;1.500;-0.378;0.181;1.350;0.548;0.884
