id;sp;sp_ives;lat;long;biome;fac;pch;CS;LogCS;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist
24;Sapajus_cay;Sapajus_cay_10;-16.291;-57.9778;Savanna;SV;17;8.8798;2.1838;26.1357;12.5847;66.4449;187.6862;34.124;15.184;18.94;27.4053;23.434;27.844;23.434;1363;241;22;70.7839;657;75;468;75;0.678;77;63.8218
25;Sapajus_cay;Sapajus_cay_9;-15.6836;-56.0652;Savanna;SV;17;8.3369;2.1197;25.2688;12.0777;66.2589;150.8484;33.296;15.068;18.228;26.4593;23.12;26.47;23.12;1417;215;16;67.3823;626;55;594;55;0.709;73;65.5557
26;Sapajus_cay;Sapajus_cay_8;-15.3056;-57.5487;Savanna;SV;17;7.9429;2.0723;24.9507;12.8113;70.734;155.7677;32.204;14.092;18.112;26.2313;22.6727;26.2313;22.6727;1453;244;17;69.8362;671;71;671;71;0.736;77;76.9122
27;Sapajus_cay;Sapajus_cay_7;-14.184;-56.6203;Savanna;SV;17;8.994;2.1964;23.949;13.6207;76.5206;77.3128;32.092;14.292;17.8;24.39;23.3087;24.8607;23.2487;1817;295;7;74.0004;849;46;684;75;0.804;75;97.2287
28;Sapajus_cay;Sapajus_cay_6;-13.5791;-52.4261;Savanna;SV;17;8.5961;2.1513;24.6908;14.1063;69.6265;117.1479;33.72;13.46;20.26;25.184;23.052;25.7027;22.978;1531;275;1;85.2072;790;13;362;33;0.694;74;85.2548
29;Sapajus_cay;Sapajus_cay_5;-13.5485;-51.4127;Savanna;SV;17;8.6781;2.1559;25.823;12.8333;68.8631;116.7055;34.152;15.516;18.636;26.3413;24.188;26.8707;24.13;1541;286;2;84.4949;785;15;400;31;0.713;73;78.8522
30;Sapajus_cay;Sapajus_cay_4;-13.5165;-53.0973;Savanna;SV;17;10.5534;2.3564;24.6382;14.5943;70.1651;122.2457;33.772;12.972;20.8;25.2593;22.8893;25.5853;22.8527;1604;272;2;81.8856;804;22;400;41;0.792;74;84.6608
31;Sapajus_cay;Sapajus_cay_3;-12.289;-51.8575;Savanna;SV;17;9.1612;2.215;25.7192;13.261;72.1962;88.0175;34.128;15.76;18.368;26.102;24.5033;26.5127;24.434;1687;312;2;79.0115;823;20;425;51;0.634;76;81.48
32;Sapajus_cay;Sapajus_cay_2;-12.1412;-53.4357;Savanna;SV;17;8.5474;2.1456;24.9505;14.381;68.234;91.0644;34.86;13.784;21.076;25.27;23.7113;25.616;23.62;1757;305;1;82.817;888;16;682;42;0.728;77;89.4855
33;Sapajus_cay;Sapajus_cay;-12.0037;-54.4538;Savanna;SV;17;10.0036;2.3029;24.8657;13.6373;70.31;77.8209;33.856;14.46;19.396;25.1327;23.778;25.4253;23.76;1788;318;1;85.2703;911;13;699;39;0.803;79;91.6162
