Bioma,Specie,Sesso,analisar,local,ordemTPS,long,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AET,NPP,CHMmais2
AF,Sapajus_nigritus,M,y,63,135,-49.733,-21.667,1.33243846,2.103803721,1.806179974,3.388456453,2.477121255,2.017033339,2.292256071,2.383815366,2.260071388,2.383815366,2.255272505,3.10002573,2.320146286,1.397940009,1.785329835,2.770115295,2.029383778,2.770115295,2.149219113,1.947568511,-0.076755981,0.301029996
AF,Sapajus_nigritus,M,y,61,136,-52.617,-22.283,1.361727836,2.096910013,1.806179974,3.386142109,2.499687083,2.089905111,2.285557309,2.408239965,2.322219295,2.408239965,2.290034611,3.077004327,2.201397124,1.491361694,1.633468456,2.658964843,2.146128036,2.658964843,2.252853031,1.937338327,-0.164943889,1.079181246
AF,Sapajus_nigritus,F,y,61,137,-52.617,-22.283,1.361727836,2.096910013,1.806179974,3.386142109,2.499687083,2.089905111,2.285557309,2.408239965,2.322219295,2.408239965,2.290034611,3.077004327,2.201397124,1.491361694,1.633468456,2.658964843,2.146128036,2.658964843,2.252853031,1.937338327,-0.164943889,1.079181246
AF,Sapajus_nigritus,M,y,62,138,-48.767,-22.183,1.326335861,2.093421685,1.806179974,3.375114685,2.472756449,2.021189299,2.283301229,2.376576957,2.255272505,2.376576957,2.252853031,3.076640444,2.338456494,1.342422681,1.826074803,2.773786445,1.959041392,2.773786445,2.045322979,1.927566922,-0.114073664,1.079181246
AF,Sapajus_nigritus,M,y,53,139,-45.883,-23.733,1.356025857,1.880813592,1.716003344,3.357934847,2.46686762,2.173186268,2.158362492,2.408239965,2.294466226,2.408239965,2.294466226,3.413634997,2.523746467,1.982271233,1.579783597,2.980003372,2.50242712,2.980003372,2.50242712,1.971196964,0.039414131,1.301029996
AF,Sapajus_nigritus,F,y,65,140,-47.417,-20.533,1.294466226,1.949390007,1.806179974,3.112269768,2.414973348,2.086359831,2.139879086,2.311753861,2.264817823,2.315970345,2.245512668,3.193958978,2.450249108,1.204119983,1.86923172,2.892094603,1.73239376,2.620136055,1.929418926,1.884725703,-0.095825639,0.301029996
AF,Sapajus_nigritus,M,y,51,141,-46.517,-23.783,1.235528447,1.963787827,1.755874856,3.356217134,2.392696953,1.939519253,2.204119983,2.298853076,2.155336037,2.303196057,2.155336037,3.348888723,2.465382851,1.892094603,1.633468456,2.930439595,2.396199347,2.925312091,2.396199347,1.855935678,0.031004282,1.397940009
AF,Sapajus_nigritus,F,y,64,142,-49.933,-21.45,1.342422681,2.103803721,1.812913357,3.379305518,2.481442629,2.033423755,2.290034611,2.389166084,2.271841607,2.389166084,2.267171728,3.084933575,2.336459734,1.278753601,1.812913357,2.769377326,1.944482672,2.769377326,2.068185862,1.950593634,-0.076755981,0.301029996
AF,Sapajus_nigritus,F,y,65,143,-47.417,-20.533,1.294466226,1.949390007,1.806179974,3.112269768,2.414973348,2.086359831,2.139879086,2.311753861,2.264817823,2.315970345,2.245512668,3.193958978,2.450249108,1.204119983,1.86923172,2.892094603,1.73239376,2.620136055,1.929418926,1.884725703,-0.095825639,0.301029996
AF,Sapajus_nigritus,M,y,65,144,-47.417,-20.533,1.294466226,1.949390007,1.806179974,3.112269768,2.414973348,2.086359831,2.139879086,2.311753861,2.264817823,2.315970345,2.245512668,3.193958978,2.450249108,1.204119983,1.86923172,2.892094603,1.73239376,2.620136055,1.929418926,1.884725703,-0.095825639,0.301029996
AF,Sapajus_nigritus,F,y,54,145,-46.633,-23.533,1.271841607,1.995635195,1.785329835,3.328175661,2.423245874,2.012837225,2.209515015,2.328379603,2.204119983,2.330413773,2.204119983,3.134177108,2.350248018,1.544068044,1.755874856,2.794488047,2.11058971,2.768638101,2.11058971,1.855935678,0.031004282,0.301029996
AF,Sapajus_nigritus,M,y,64,146,-49.933,-21.45,1.342422681,2.103803721,1.812913357,3.379305518,2.481442629,2.033423755,2.290034611,2.389166084,2.271841607,2.389166084,2.267171728,3.084933575,2.336459734,1.278753601,1.812913357,2.769377326,1.944482672,2.769377326,2.068185862,1.950593634,-0.076755981,0.301029996
