biome	traj1	traj2	sp	Size	fac	pch
Savanna	cladeone	1	Sapajus_libidinosus	2.178534112	SV_lib	25
Savanna	cladeone	0	Sapajus_libidinosus	2.062219668	AM	15
Forest	cladeone	0	Sapajus_apella	2.293315053	AM	15
Forest	cladeone	0	Sapajus_apella	2.210580103	AM	15
Forest	cladeone	0	Sapajus_apella	2.096041526	AM	15
Forest	cladeone	0	Sapajus_apella	2.320339306	AM	15
Forest	cladeone	0	Sapajus_apella	2.174938294	AM	15
Forest	cladeone	0	Sapajus_apella	2.104008352	AM	15
Forest	cladeone	0	Sapajus_apella	2.25393634	AM	15
Forest	cladeone	0	Sapajus_apella	2.089300799	AM	15
Forest	cladeone	0	Sapajus_apella	2.008325177	AM	15
Forest	cladeone	0	Sapajus_apella	2.288745442	AM	15
Forest	cladeone	1	Sapajus_apella	2.202301487	AM	15
Forest	cladeone	1	Sapajus_apella	2.213095029	AM	15
Forest	cladetwo	0	Sapajus_nigritus	2.116539492	AF	19
Forest	cladetwo	0	Sapajus_nigritus	2.311762654	AF	19
