id;sp_ives;sp;lat;long;sex;CS;LogCS;biome;fac;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;npp;humid;soilmoist;pch
Sapajus_apella -1.0917 -57.0386 M;Sapajus_apella;Sapajus_apella;-1.0917;-57.0386;M;11.44344709;2.437304484;Forest;AM;26.97599983;8.643332481;79.06452179;61.26715851;32.95999908;22.02799988;10.93199921;26.58333397;27.1566658;27.87999916;26.43666649;2680;406;90;50.61932373;1162;334;394;933;0.734000027;81;92.72669983;15
Sapajus_apella -1.323968462 -51.4369875 M;Sapajus_apella_2;Sapajus_apella;-1.323968462;-51.4369875;M;9.121005985;2.210580103;Forest;AM;26.29333305;9.165332794;83.01934052;49.96668625;32.31599808;21.27600098;11.0399971;25.98266602;26.88533211;26.93599892;25.69333267;2353;334;51;53.52019882;964;207;225;846;0.80400002;84;107.5274963;15
Sapajus_apella -1.477914392 -56.37492323 F;Sapajus_apella_3;Sapajus_apella;-1.477914392;-56.37492323;F;9.424606785;2.243324012;Forest;AM;27.03333282;8.821332932;78.98757172;63.50279999;33.18000031;22.01199913;11.16800117;26.59399986;27.25533295;27.95533371;26.45800018;2482;401;80;55.51443863;1090;275;318;950;0.783999979;82;94.0707016;15
Sapajus_apella -2.18919133 -54.91178962 F;Sapajus_apella_4;Sapajus_apella;-2.18919133;-54.91178962;F;8.079264156;2.089300799;Forest;AM;26.52600098;7.971333504;77.93639374;64.74720764;32.0359993;21.80800056;10.22799873;25.97266769;27.27000046;27.36533356;25.97266769;1767;321;25;72.17172241;868;103;144;868;0.824000001;83;82.6147995;15
Sapajus_apella -2.18919133 -54.91178962 M;Sapajus_apella_5;Sapajus_apella;-2.18919133;-54.91178962;M;9.525156394;2.25393634;Forest;AM;26.52600098;7.971333504;77.93639374;64.74720764;32.0359993;21.80800056;10.22799873;25.97266769;27.27000046;27.36533356;25.97266769;1767;321;25;72.17172241;868;103;144;868;0.824000001;83;82.6147995;15
Sapajus_apella -2.597745966 -43.45908946 F;Sapajus_apella_6;Sapajus_apella;-2.597745966;-43.45908946;F;8.550208799;2.145955704;Forest;AM;27.18766594;9.197333336;81.27724457;48.79886246;33.10400009;21.78800011;11.31599998;26.77466583;27.84399986;27.8579998;26.75;1842;379;8;91.79764557;1031;28;80;1028;0.522000015;78;69.04119873;15
Sapajus_apella -2.597745966 -43.45908946 M;Sapajus_apella_7;Sapajus_apella;-2.597745966;-43.45908946;M;9.038308621;2.201472057;Forest;AM;27.18766594;9.197333336;81.27724457;48.79886246;33.10400009;21.78800011;11.31599998;26.77466583;27.84399986;27.8579998;26.75;1842;379;8;91.79764557;1031;28;80;1028;0.522000015;78;69.04119873;15
Sapajus_apella -2.629249831 -55.15298626 M;Sapajus_apella_8;Sapajus_apella;-2.629249831;-55.15298626;M;9.143973505;2.213095029;Forest;AM;26.5605011;7.98766613;77.79184723;63.34131622;32.00799942;21.73999977;10.26799965;26.0233345;27.32466698;27.32666779;26.0233345;1804;309;31;67.28200531;850;120;162;850;0.796999991;86;93.72750092;15
Sapajus_apella -2.633641 -65.820283 M;Sapajus_apella_9;Sapajus_apella;-2.633641;-65.820283;M;11.68616734;2.458405864;Forest;AM;26.71466637;8.864666939;87.6995163;27.18626022;31.90799904;21.79999924;10.1079998;26.597332;26.64533234;27.01533318;26.40333366;2960;333;169;21.59472466;945;531;626;731;1.001999974;87;145.4429932;15
Sapajus_apella -2.652293397 -55.72410329 F;Sapajus_apella_10;Sapajus_apella;-2.652293397;-55.72410329;F;7.450828075;2.008325177;Forest;AM;26.64299965;8.684000015;77.75788116;62.59736252;32.63199997;21.4640007;11.16799927;26.09933281;27.35199928;27.51399994;26.08133316;1985;320;36;62.33409882;898;144;196;844;0.796999991;85;89.72129822;15
Sapajus_apella -2.652293397 -55.72410329 M;Sapajus_apella_11;Sapajus_apella;-2.652293397;-55.72410329;M;9.862556769;2.288745442;Forest;AM;26.64299965;8.684000015;77.75788116;62.59736252;32.63199997;21.4640007;11.16799927;26.09933281;27.35199928;27.51399994;26.08133316;1985;320;36;62.33409882;898;144;196;844;0.796999991;85;89.72129822;15
Sapajus_apella -2.813440848 -55.19236423 M;Sapajus_apella_12;Sapajus_apella;-2.813440848;-55.19236423;M;9.045808369;2.202301487;Forest;AM;26.50283241;8.322333336;77.05863953;63.24353027;32.20800018;21.40799904;10.80000114;25.97533417;27.23799896;27.28933334;25.97533226;1812;305;32;65.48674011;840;128;171;401;0.796999991;86;93.72750092;15
Sapajus_apella -3.138513992 -58.15840454 F;Sapajus_apella_13;Sapajus_apella;-3.138513992;-58.15840454;F;8.198968488;2.104008352;Forest;AM;27.07600021;8.512666702;78.50117493;59.46232224;32.79199982;21.94799995;10.84399986;26.49799919;27.79933357;27.94400024;26.49799919;2124;315;72;49.9899559;865;237;268;865;0.851999998;83;95.22879791;15
